date,avg_return
2025-01-02,1.0
2025-01-03,0.958449003730496
2025-01-06,0.9567098297235758
2025-01-07,0.9722217488409041
2025-01-08,0.9698893690997216
2025-01-09,0.970766575416215
2025-01-10,0.936030648005526
2025-01-13,0.9413527930554915
2025-01-14,0.9847246329000955
2025-01-15,0.9852591965411408
2025-01-16,0.9982773466887485
2025-01-17,0.9948633327775286
2025-01-20,0.9878177563726401
2025-01-21,0.9773278043583333
2025-01-22,0.958283480835805
2025-01-23,0.9544036965784806
2025-01-24,0.9606918180115235
2025-01-27,0.9505405968812546
2025-02-05,0.9553716394665177
2025-02-06,0.9702151743622212
2025-02-07,0.9949993058104011
2025-02-10,1.0145862143693363
2025-02-11,1.0057959914991395
2025-02-12,1.0130360794460171
2025-02-13,1.0153545177194343
2025-02-14,1.010137234271595
2025-02-17,1.0199693081708168
2025-02-18,0.985306235945913
2025-02-19,1.0037624888249497
2025-02-20,1.0039380214495766
2025-02-21,1.006013962757311
2025-02-24,1.0142655812632877
2025-02-25,1.0039983466187927
2025-02-26,1.018049306246952
2025-02-27,1.0499493596530116
2025-02-28,1.021219965182438
2025-03-03,1.016241814590078
2025-03-04,1.0205470722391619
2025-03-05,1.0166260391663624
2025-03-06,1.030956683661633
2025-03-07,1.021433639859457
2025-03-10,1.0365970891368899
2025-03-11,1.0420746015297166
2025-03-12,1.032132476672109
2025-03-13,1.0239908190494502
2025-03-14,1.0520963712279456
2025-03-17,1.0564423758396966
2025-03-18,1.050924359338545
2025-03-19,1.0457874559692668
2025-03-20,1.0440612498221788
2025-03-21,1.0454651386844669
2025-03-24,1.0189971574708157
2025-03-25,1.00985357965035
2025-03-26,1.0094533531424026
2025-03-27,1.003638076736969
2025-03-28,0.9899506816230533
2025-03-31,0.9574074107911769
2025-04-01,0.9714448450962607
2025-04-02,0.9708604861708295
2025-04-03,0.9741390353711988
2025-04-07,0.8912120167443112
2025-04-08,0.9078720825432197
2025-04-09,0.938307698297098
2025-04-10,0.959749403457797
2025-04-11,0.9593827376695414
2025-04-14,1.0138713358934939
2025-04-15,0.9953264698014497
2025-04-16,0.9792650664998754
2025-04-17,0.9854633005335809
2025-04-18,0.9726572358584769
2025-04-21,0.9807938028996108
2025-04-22,0.9846115515533118
2025-04-23,0.9699846487151403
2025-04-24,0.9627483037086723
2025-04-25,0.9558040968063974
2025-04-28,0.9372571895225891
2025-04-29,0.9389168293884019
2025-04-30,0.9414123143315825
2025-05-06,0.9594742703152866
2025-05-07,0.9643609288838457
2025-05-08,0.9725854069884563
2025-05-09,0.9632114649941619
2025-05-12,0.9702860146654266
2025-05-13,0.9653811619084607
2025-05-14,0.9679599739094531
2025-05-15,0.9731631377277614
2025-05-16,0.9764209237389625
2025-05-19,0.9880427159840707
2025-05-20,0.9981890186243124
2025-05-21,1.0001528581424615
2025-05-22,0.989248059132548
2025-05-23,0.9716273775273722
2025-05-26,0.9711988994958964
2025-05-27,0.9750836417187067
2025-05-28,0.9676618885596919
2025-05-29,0.9840264210564702
2025-05-30,0.9818996037172381
2025-06-03,0.9898981595800064
2025-06-04,1.0127354498567316
2025-06-05,1.002124722250163
2025-06-06,1.0195893107099865
2025-06-09,1.0214251376258772
2025-06-10,1.018702137805198
2025-06-11,1.0208535667265592
2025-06-12,1.0105620836509017
2025-06-13,1.001615518855602
2025-06-16,1.0156433605666737
2025-06-17,1.0131106995000065
2025-06-18,1.0101246970993012
2025-06-19,0.9885610557596839
2025-06-20,0.9849513392383615
2025-06-23,0.9966325163906146
2025-06-24,1.0076324575971942
2025-06-25,1.0165912893706945
2025-06-26,1.0169970538902662
2025-06-27,1.016771224385761
2025-06-30,1.0322044768583634
2025-07-01,1.0346558985794179
2025-07-02,1.0352491957908483
2025-07-03,1.0385495967832024
2025-07-04,1.0384616083659028
2025-07-07,1.038422192179677
2025-07-08,1.062203962892786
2025-07-09,1.05562084295013
2025-07-10,1.067729875718348
2025-07-11,1.0700099217386803
2025-07-14,1.0720483659521358
2025-07-15,1.0484420727573094
2025-07-16,1.07264731684035
2025-07-17,1.1012623137584163
2025-07-18,1.1107262754955454
2025-07-21,1.1375786348052583
2025-07-22,1.1722866658723903
2025-07-23,1.1202217913626515
2025-07-24,1.2276914593482415
2025-07-25,1.1877754405259127
2025-07-28,1.16767528511763
2025-07-29,1.170077162515853
2025-07-30,1.171402985795736
2025-07-31,1.1449826935728074
2025-08-01,1.142560156645888
2025-08-04,1.1503535626943937
2025-08-05,1.1533768315079387
2025-08-06,1.1475368855767514
2025-08-07,1.1453149557361564
2025-08-08,1.1473403420617905
2025-08-11,1.1583424895301924
2025-08-12,1.1523124924368386
2025-08-13,1.1517227753052208
2025-08-14,1.1289310998700899
2025-08-15,1.1446778584565707
2025-08-18,1.1667471039753108
2025-08-19,1.1773460148787083
2025-08-20,1.1818123056016832
2025-08-21,1.177563981746921
2025-08-22,1.1765315848574902
2025-08-25,1.1882809521454565
2025-08-26,1.189249636396692
2025-08-27,1.1634399538008167
2025-08-28,1.1658361754007784
2025-08-29,1.1778342518845388
2025-09-01,1.1833545492920268
2025-09-02,1.1670651575678879
